"create_time","id","travel_date","departure_city","departure_city_name","departure_time","arrival_city","arrival_city_name","arrival_time","duration","stopover","stopover_duration","min_price","min_price_tax","min_price_discount","min_business_price","min_business_price_tax","departure_airport","departure_airport_name","departure_terminal","arrival_airport","arrival_airport_name","arrival_terminal","seat_left","default_cabin","segment_list","economy_policies","business_policies","flights_info","data_source","task_id"
"16/2/2025 21:02:10.599","1891110825509867525","26/2/2025 00:00:00","HKG","香港","2025-02-26 11:55:00","IST","伊斯坦堡","2025-02-27 12:25:00","1770","莫斯科,","655,","4742","437",,,,"HKG","","T1","IST","",,"2","N,N",,,,"香港:SU213,莫斯科:SU2140,","trip",
"16/2/2025 21:02:10.599","1891110825509867526","26/2/2025 00:00:00","HKG","香港","2025-02-26 07:30:00","IST","伊斯坦堡","2025-02-27 06:20:00","1670","北京,","195,","3695","1961",,,,"HKG","","T1","IST","",,"9","N,V",,,,"香港:CX334,北京:TK089,","trip",
"16/2/2025 21:02:10.599","1891110825509867527","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:25:00","IST","伊斯坦堡","2025-02-27 05:55:00","990","台北,","100,","13280","1048",,,,"HKG","","T1","IST","",,"4","Q,Y",,,,"香港:HX284,台北:BR3809,","trip",
"16/2/2025 21:02:10.6","1891110825518256130","26/2/2025 00:00:00","HKG","香港","2025-02-26 14:20:00","IST","伊斯坦堡","2025-02-27 05:25:00","1205","東京,","235,","38296","1542",,,,"HKG","","T1","IST","",,"4","Y,Y",,,,"香港:NH860,東京:NH6635,","trip",
"16/2/2025 21:02:10.6","1891110825518256131","26/2/2025 00:00:00","HKG","香港","2025-02-26 14:10:00","IST","伊斯坦堡","2025-02-27 11:15:00","1565","新德里,","400,","4987","326",,,,"HKG","","T1","IST","",,"9","P,Y",,,,"香港:6E1708,新德里:6E011,","trip",
"16/2/2025 21:02:10.602","1891110825526644737","26/2/2025 00:00:00","HKG","香港","2025-02-26 21:00:00","IST","伊斯坦堡","2025-02-27 17:35:00","1535","杜拜,","715,","13818","1678",,,,"HKG","","T1","IST","",,"3","Y,Y",,,,"香港:EK385,杜拜:EK2094,","trip",
"16/2/2025 21:02:10.602","1891110825526644738","26/2/2025 00:00:00","HKG","香港","2025-02-26 11:55:00","IST","伊斯坦堡","2025-02-27 14:10:00","1875","莫斯科,","655,","4742","437",,,,"HKG","","T1","IST","",,"2","N,N",,,,"香港:SU213,莫斯科:SU2130,","trip",
"16/2/2025 21:02:10.603","1891110825526644739","26/2/2025 00:00:00","HKG","香港","2025-02-26 00:15:00","IST","伊斯坦堡","2025-02-26 17:05:00","1310","法蘭克福,","830,","8105","1693",,,,"HKG","","T1","IST","",,"2","V,V",,,,"香港:CX289,法蘭克福:TK1588,","trip",
"16/2/2025 21:02:10.603","1891110825526644740","26/2/2025 00:00:00","HKG","香港","2025-02-26 11:55:00","IST","伊斯坦堡","2025-02-27 15:30:00","1955","莫斯科,","655,","4742","437",,,,"HKG","","T1","IST","",,"2","N,N",,,,"香港:SU213,莫斯科:SU2136,","trip",
"16/2/2025 21:02:10.604","1891110825535033345","26/2/2025 00:00:00","HKG","香港","2025-02-26 00:35:00","IST","伊斯坦堡","2025-02-26 14:25:00","1130","杜拜,","545,","13102","1102",,,,"HKG","","T1","IST","",,"9","Y,Y",,,,"香港:EK381,杜拜:QF8123,","trip",
